;;x
block_1_satellites;Block I Satellites;x
block_1_satellites_desc;The Block I series consisted of the concept validation satellites and reflected various stages of system development. Lessons learned from the 11 satellites in the series were incorporated into the fully operational Block II series. Dual solar arrays supplied over 400 watts of power, charging NiCd batteries for operations in Earth's shadow.;x
hydrazine_propulsion;Hydrazine Propulsion System;x
hydrazine_propulsion_desc;The attitude control rocket motors for satellites and space probes are often very small, an inch or so in diameter, and mounted in groups that point in four directions (within a plane). The most commonly used monopropellant is hydrazine (N2H4), a chemical which is a strong reducing agent.;x
lband_navigation_signals;L-band Navigation Signals System;x
lband_navigation_signals_desc;In the United States and overseas territories, the L band is held by the military for telemetry, thereby forcing digital radio to in-band on-channel (IBOC) solutions. Digital Audio Broadcasting (DAB) is typically done in the 1452–1492-MHz range as in most of the world, but other countries also use VHF and UHF bands.;x
block_2_satellites;Block II Satellites;x
block_2_satellites_desc;Block II spacecraft were 3-axis stabilized, with ground pointing using reaction wheels. Two solar arrays supplied 710 watts of power, while S-band communications were used for control and telemetry. A UHF channel was use for cross-links between spacecraft. A hydrazine propulsion system was used for orbital correction. The payload included two L-band navigation signals at 1575.42 MHz (L1) and 1227.60 MHz (L2). Each spacecraft carried 2 rubidium and 2 cesium clocks, as well as nuclear detonation detection sensors, leading to a mass of 1,660 kilograms (3,660 lb).;x
civilian_gps;Civilian Global Positioning System;x
civilian_gps_desc;Historically, after Korean Air Lines Flight 007, carrying 269 people, was shot down in 1983 after straying into the USSR's prohibited airspace, in the vicinity of Sakhalin and Moneron Islands, President Ronald Reagan issued a directive making GPS freely available for civilian use, once it was sufficiently developed, as a common good. The first satellite was launched in 1989, and the 24th satellite was launched in 1994.;x
selective_availability;Selective Availability;x
selective_availability_desc;GPS included a (currently disabled) feature called Selective Availability (SA) that adds intentional, time varying errors of up to 100 meters (328 ft) to the publicly available navigation signals. This was intended to deny an enemy the use of civilian GPS receivers for precision weapon guidance. SA errors are actually pseudorandom, generated by a cryptographic algorithm from a classified seed key available only to authorized users (the U.S. military, its allies and a few other users, mostly government) with a special military GPS receiver. Mere possession of the receiver is insufficient;x
inertial_navigation_system;Inertial Navigation System;x
inertial_navigation_system_desc;An inertial navigation system (INS) is a navigation aid that uses a computer, motion sensors (accelerometers) and rotation sensors (gyroscopes) to continuously calculate via dead reckoning the position, orientation, and velocity (direction and speed of movement) of a moving object without the need for external references.;x
launch_control_center;Launch Control Center;x
launch_control_center_desc;A launch control center (LCC) is the main control facility for intercontinental ballistic missiles (ICBMs). A launch control center monitors and controls missile launch facilities.;x
primary_alert_system;Primary Alert System;x
primary_alert_system_desc;The Primary Alerting System (PAS), was a network of land-line connections used by the Strategic Air Command (SAC) for command and control of its nuclear forces. PAS provided immediate and simultaneous voice communications to all (SAC) unit command posts and missile launch control facilities.;x
SLFCS;Survivable Low Frequency Communications System;x
SLFCS_desc;The AN/FRC-117 Survivable Low Frequency Communications System (SLFCS) was a communications system designed to be able to operate, albeit at low data transfer rates, during and after a nuclear attack.[1] The system used both Very Low Frequency (VLF), and High Frequency radio bands.;x
exoatmospheric_kill_vehicle;Exoatmospheric Kill Vehicle;x
exoatmospheric_kill_vehicle_desc;An EKV is boosted to an intercept trajectory by a boost vehicle (missile), where it separates from the boost vehicle and autonomously collides with an incoming warhead. EKV devices appear in both ground and ship based missile defense systems.;x
ground_based_interceptor;Ground Based Interceptor;x
ground_based_interceptor_desc;Ground Based Missiles for intercepting ballistic missile weapons. For every interceptor missile there is a missile silo and a Silo Interface Vault (SIV), which is an underground electronics room adjacent to the silo.;x
m_code;M-Code Navigation Signal;x
m_code_desc;A major component of the modernization process, a new military signal called M-code was designed to further improve the anti-jamming and secure access of the military GPS signals. The M-code is transmitted in the same L1 and L2 frequencies already in use by the previous military code, the P(Y) code. The new signal is shaped to place most of its energy at the edges (away from the existing P(Y) and C/A carriers).;x
civilian_l1;Civilian L1C Navigation Signal;x
civilian_l2_desc;L1C is a civilian-use signal, to be broadcast on the same L1 frequency (1575.42 MHz) that contains the C/A signal used by all current GPS users. It will have a number of improvements over the old L1.;x
civilian_l2;Civilian L2C Navigation Signal;x
civilian_l2_desc;The L2C signal is tasked with providing improved accuracy of navigation, providing an easy-to-track signal, and acting as a redundant signal in case of localized interference. The immediate effect of having two civilian frequencies being transmitted from one satellite is the ability to directly measure, and therefore remove, the ionospheric delay error for that satellite.;x
retroreflector;Retroreflector;x
retroreflector_desc;A retroreflector (sometimes called a retroflector or cataphote) is a device or surface that reflects light back to its source with a minimum of scattering. An electromagnetic wave front is reflected back along a vector that is parallel to but opposite in direction from the wave's source. The device or surface's angle of incidence is greater than zero. This is unlike a planar mirror, which does this only if the mirror is exactly perpendicular to the wave front, having a zero angle of incidence.;x
HEMTT_load_handling;M1120 HEMTT Load Handling System;x
HEMTT_load_handling_desc;The Heavy Expanded Mobility Tactical Truck (HEMTT) series is a range of eight-wheel drive diesel-powered off-road capable trucks. The M1120 HEMTT LHS (Load Handling System for missiles) is nothing more than a M977 HEMTT with a load handling system in place of a flat bed.;x
x_band_radar;X-Band Radar;x
x_band_radar_desc;The THAAD Radar is an X-Band Radar developed and built by Raytheon at its Andover, Massachusetts Integrated Air Defense Facility. It is the world's largest ground/air-transportable X-Band radar.;x
medium_eads;Medium Extended Air Defense System;x
medium_eads_desc;MEADS is to provide capabilities beyond any other fielded or planned air and missile defense system. It is to be easily deployed to a theater of operations and once there, will keep pace with fast-moving maneuver forces. When completed, MEADS will be the only air and missile defense system able to roll off tactical transports with the troops and almost immediately begin operations. More importantly, its open architecture will provide for 21st century air and missile defense system-of-system integration capabilities that allow operational mission-tailoring for homeland defense or defense of maneuver forces. MEADS will also provide greater firepower with less manpower than current systems, producing dramatic operation and support cost savings.;x
personnel_asgt;Personnel Armor System for Ground Troops;x
personnel_asgt_desc;"The Personnel Armor System for Ground Troops, oftentimes abbreviated to the acronym, PASGT (pronounced ""pass-get""), is a combat helmet and ballistic vest issued to the Military. The PASGT helmet is typically olive drab in color and can be fitted with cloth helmet covers, which come in a wide array of varying camouflage patterns, including, but not limited to, M81 Woodland, six-color desert, three-color desert, winter/snow white and solid black for tactical police applications.";x
modular_olle;Modular Lightweight Load-carrying Equipment;x
modular_olle_desc;The Modular Lightweight Load-carrying Equipment it's the current generation of load-bearing equipment and rucksacks. The system's modularity is derived from the use of PALS webbing, rows of heavy-duty nylon stitched onto the vest as to allow for attachment of various MOLLE-compatible pouches and accessories. This method of attachment has become a de facto standard for modular tactical gear, replacing the A.L.I.C.E system used in the earliest modular vest systems (which is still in use with most Western police departments).;x
bullpup;Bullpup Firearms;x
bullpup_desc;Bullpup describes a modern firearm configuration in which the action is located behind the trigger group and alongside the shooter's face, so there is no wasted space for the buttstock as in conventional designs. This permits a shorter firearm length for the same barrel length for improved maneuverability, and reduces weight.;x
picatinny_rail;Picatinny Rail;x
picatinny_rail_desc;"The Picatinny rail, alternatively known as the MIL-STD-1913 rail, STANAG 2324 rail, or simply ""Tactical Rail"" is a bracket used on some firearms in order to provide a standardized mounting platform, similar to the Weaver rail mount.";x
red_dot_sight;Red Dot Sights;x
red_dot_sight_desc;A red dot sight is a common classification for a type of non-magnifying reflector (or reflex) sight for firearms that gives the user an aimpoint in the form of an illuminated red dot. A standard design uses a red light-emitting diode (LED) at the focus of collimating optics which generates a dot style illuminated reticle that stays in alignment with the weapon the sight is attached to regardless of eye position (nearly parallax free). They are considered to be fast acquisition and easy to use gun sights for target shooting, hunting, and in police and military applications.;x
second_gen_guidance;Second-Generation Guidance Systems;x
second_gen_guidance_desc;Second-generation semi-automatically command guided SACLOS missiles require the operator to only keep the sights on the target until impact. Automatic guidance commands are sent to the missile through wires or radio, or the missile relies on laser marking or a TV camera view from the nose of the missile. Examples are the Russian 9M133 Kornet and the American Hellfire I missiles. The operator must remain stationary during the missile's flight.;x
third_gen_guidance;Third-Generation Guidance Systems;x
third_gen_guidance_desc;Third-generation guidance systems rely on a laser, electro-optical imager (IIR) seeker or a W band radar seeker in the nose of the missile. Once the target is identified, the missile needs no further guidance during flight;x
heat_warhead;High-Explosive Anti-Tank Warheads;x
heat_warhead_desc;High-explosive anti-tank (HEAT) warheads are made of an explosive shaped charge that uses the Munroe effect to create a very high-velocity partial stream of metal in a state of superplasticity that can punch through solid armor.;x
tandem_charge;Tandem-Charge;x
tandem_charge_desc;A tandem-charge weapon is an explosive device or projectile that has two or more stages of detonation. It is effective against cage armor, which is designed to protect an armored vehicle (mostly tanks) against anti-tank munitions. The first stage of the weapon is typically a weak charge that pierces the reactive armor of the target without detonating it, causing little damage to the armor beneath. However, after the reactive armor has been penetrated the location is left more vulnerable, as there then exists a channel through the reactive armor which the HEAT jet of the second warhead may pass unimpeded. The second detonation from the same projectile (which defines it as a tandem charge) attacks the same location as the first detonation where the reactive armor has been compromised. Since the regular armor plating is often the only defense remaining, the tandem charge (second detonation) has an increased likelihood of penetrating the armor.;x
interceptor_body_armor;Interceptor Body Armor;x
interceptor_body_armor_desc;The Interceptor body armor system consists of an Outer Tactical Vest (OTV) and two Small Arms Protective Insert (SAPI) ballistic plates. The OTV features a carrier shell, and three main ballistic panel inserts (left and right side panels, and a rear back panel), which are made with a finely woven Kevlar KM2 fiber. These two parts of the vest are both bullet and heat resistant. The soft ballistic panels are produced in five different sizes (S-XXL), which are installed into their respective pocket on the OTV carrier shell.;x
special_reconnaissance;Special Reconnaissance;x
