#MAM Techs;;x
naval_tech_school;Naval Power;x
industrial_tech_school;Corporate Welfare;x
culture_tech_school;Politico-Media complex;x
commerce_tech_school;Consumer Economics;x
prussian_tech_school;Wirtschaftswunder;x
usa_tech_school;Iron Triangle;x
israel_tech_school;Permanent War Economy;x
south_korea_tech_school;Chaebol Conglomerate;x
japan_tech_school;Keiretsu;x
north_korea_tech_school;Juche;x
discoveries;Scientific Discovery;x
big_science;Big Science;x
international_science;International Science;x
contemporary_science;Contemporary Science;x
distributed_computations;Distributed Computations;x
virtual_science;Virtual Science;x
quantum_science;Quantum Computations;x
research_and_development;Research and Development;x
early_networks;Early Networks;x
strd_internet;The Internet;x
high_speed_uni_network;Very High-Speed University Networks;x
uni_internet;Internet2;x
distributed_computing_research;Distributed Computing for Research;x
research_supercomputers;ZettaFLOPS Supercomputers for Research;x
education_policies;Education Policies;x
preschool_education;Popularization of Preschool Education;x
global_enrollment;Universal School Enrollment;x
informatization_education;Informatization of Education;x
learning_management_systems;Learning Management Systems;x
blended_learning;Blended Learning;x
virtual_learning;Virtual Learning Environment;x
geopolitics;Geopolitics;x
detente;Détente;x
globalization;Globalization;x
war_on_terror;Global War on Terrorism;x
age_of_protests;The Age of Protests;x
political_polarization;Political Polarization;x
new_world_order;The New World Order;x
society_trends;Societal Trends;x
70s_subcultures;70s Subcultures;x
cultural_imperialism;Cultural Imperialism;x
digital_revolution;Digital Revolution;x
social_networking;Social Networking;x
hacktivism;Hacktivism;x
next_generation_subcultures;Next Generation Subcultures;x
international_financial_institutions;International Financial Institutions;x
multilateral_development_bank;Multilateral Development Banks;x
online_banking;Online Banking;x
credit_rating_institutions;Credit Rating Institutions;x
financial_stability_board;Financial Stability Board;x
neofinancial_system;Neo-Financial System;x
dollar_standard;Dollar Standard;x
bretton_system;Bretton Woods System;x
washington_consensus;Washington Consensus;x
new_bretton;Bretton Woods II;x
beijing_consensus;Beijing Consensus;x
new_global;Neo-Global Economy;x
new_keynesian;New Keynesian Economics;x
new_growth_theory;Endogenous Growth Theory;x
new_synthesis;New Neoclassical Synthesis;x
austrian_school;Austrian School of Economics;x
digitaleconomics_theory;Cyber-Economics Theory;x
neoeconomics_theory;Neo-Economics Theory;x
trust_busting;Contemporary Antitrust Legislation;x
neoliberalism;Modern Neoliberalism;x
economic_globalization;Economic Globalization;x
commodities_and_credit;Commodities and Speculation Economies;x
neoeconomic_responsibility;New Economic Responsibility Policy;x
neoglobal_market;Neo-Global Market;x
tech_organization;Division of Labour;x
late_fordism;Modern Fordism;x
toyotism;Toyota Production System;x
vanguard_method;The Vanguard Method;x
lean_manufacturing;Lean Manufacturing Method;x
post_fordism;Post-Fordism;x
neodigital;Neo-Digital Division of Labour;x
ballistic_and_recon;Ballistics and Recon;x
military_gps_system;Military GPS System;x
missile_launch_facility;Missile Launch Facility;x
ground_midcourse_defense;Ground-Based Midcourse Defense;x
gps_iii_system;GPS III System;x
